答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意？你不必说具体哪个，请告诉我您满意的主体数量（0-4）即可：钟南山院士高等院校非政府组织中央政府,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士国务院新闻发布会,Q13_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士纽约时报,Q14_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q14_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q14_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q14_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q14_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q15_请问你对上述视频有什么看法：,Q16_请问你对你平时上的思想政治课有什么看法：,Q17_你所在学校组织网课的最常见形式是什么？,Q17_你所在学校组织网课的最常见形式是什么？_开放选项,Q18_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q19_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q22_你上思想政治课的班级规模：,Q23_你对中央政府的工作有多满意？,Q24_你相信国务院新闻发布会发布的信息么？,Q25_你相信纽约时报发布的信息么？,Q26_你对老师在线授课的适应程度如何？,Q27_你对自己在线自主学习的适应程度如何？,Q28_你对学校组织的在线学习，有什么建议？
1,117.136.94.33,,,,,,,,,2021-06-30 09:15:32,2021-06-30 09:18:46,Unknown Browser,iPhone iOS 14.5,1,,,,,,,9.0,8.0,9.0,1,1,2,1,2,1,6,3,3,3,6,6,6,6,7,7,6,非常好,非常好,3,,4,8,6,6,6,6,6,6,5,5,6,6,6,6,6,5,5,6,6,6,6,4,6,6,5,6,6,好
2,223.104.194.128,,,,,,,,,2021-06-30 09:18:07,2021-06-30 09:25:39,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,4,1,7,5,5,5,7,7,7,7,7,7,7,无,无,7,,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,5,无
3,117.136.93.162,,,,,,,,,2021-06-30 09:22:37,2021-06-30 09:25:52,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,9.0,10.0,1,1,2,1,4,3,7,5,5,5,7,7,7,7,7,7,7,很好,很好,3,,72,34,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,没有
4,223.104.194.41,,,,,,,,,2021-06-30 09:24:03,2021-06-30 09:27:45,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,3,2,7,5,5,5,7,7,7,7,7,7,7,非常好,思想很好,3,,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,7,7,7,7,7,无
5,223.104.194.174,,,,,,,,,2021-06-30 09:26:22,2021-06-30 09:28:26,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,3,6,5,5,5,7,7,7,7,7,7,7,无,无,4,,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,5,6,6,无
6,112.224.162.86,,,,,,,,,2021-06-30 09:29:33,2021-06-30 09:32:40,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,3,1,2,3,3,5,5,5,7,7,7,7,7,7,7,好,好,4,,30,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,4,5,5,好
7,223.104.194.24,,,,,,,,,2021-06-30 09:38:28,2021-06-30 09:40:12,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,7.0,6.0,1,3,3,1,2,2,7,3,2,2,6,6,6,6,6,6,6,没,没,7,,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,4,6,6,没
8,112.224.23.215,,,,,,,,,2021-06-30 09:35:06,2021-06-30 09:41:39,Unknown Browser,iPhone iOS 14.4,1,,,,,,,9.0,8.0,9.0,1,2,2,3,3,2,6,4,4,4,6,5,5,5,5,6,4,无,无,5,,1,1,4,4,4,5,5,4,5,4,4,4,5,5,6,5,5,4,4,5,4,4,5,6,5,5,5,56
9,144.12.224.26,,,,,,,,,2021-06-30 09:40:15,2021-06-30 09:42:57,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,6.0,6.0,1,1,2,1,1,1,3,3,4,4,5,6,6,6,6,6,6,无,无,4,,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
10,153.118.155.38,,,,,,,,,2021-06-30 09:37:56,2021-06-30 09:49:16,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,5.0,5.0,1,1,2,1,1,4,3,3,3,2,4,6,5,5,3,6,6,没有,村以上市以下或较贫困地区的基层干部更应该上政治思想课一个个让人一言难尽，他们的党员是买来的吗,4,,10,12,5,4,4,3,3,3,3,4,5,6,6,5,5,5,5,5,5,5,5,5,7,7,6,5,5,还是线下吧
11,144.12.63.112,,,,,,,,,2021-06-30 09:34:56,2021-06-30 09:51:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,3,1,1,1,1,1,1,5,5,5,7,7,7,7,7,7,7,无,无,4,,10,4,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,4,7,7,5,6,6,无
12,223.104.244.234,,,,,,,,,2021-06-30 10:16:30,2021-06-30 10:19:33,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,1,2,3,2,2,7,5,5,5,7,7,7,7,7,7,7,无,无,7,,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,4,7,7,6,6,6,无
13,223.104.186.32,,,,,,,,,2021-06-30 10:55:23,2021-06-30 11:00:03,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,5.0,1,2,1,1,2,2,3,3,3,2,4,5,5,5,5,5,5,无,无,3,,32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,无
