答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意，你不必说具体哪个，请告诉我您满意的主体数量（0-3）即可：钟南山院士官方媒体自媒体,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-3）即可：南方周末环球时报钟南山院士,Q13_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q13_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q13_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q13_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q13_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q14_请问你对上述视频有什么看法：,Q15_请问你对你平时上的思想政治课有什么看法：,Q16_你所在学校组织网课的最常见形式是什么？,Q16_你所在学校组织网课的最常见形式是什么？_开放选项,Q17_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q18_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q21_你上思想政治课的班级规模：,Q22_你对中央政府的工作有多满意？,Q23_你相信国务院新闻发布会发布的信息么？,Q24_你相信纽约时报发布的信息么？,Q25_你对老师在线授课的适应程度如何？,Q26_你对自己在线自主学习的适应程度如何？,Q27_你对学校组织的在线学习，有什么建议？
1,117.136.93.203,,,,,,,,,2021-06-30 09:14:35,2021-06-30 09:17:37,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,8.0,2,3,2,1,1,3,7,4,4,6,7,7,7,7,6,6,好,好,3,,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,6,7,7,7,7,好
2,223.104.194.184,,,,,,,,,2021-06-30 09:15:18,2021-06-30 09:17:58,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,2,1,7,4,3,7,7,7,7,7,7,7,好,好,3,,8,8,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,好
3,223.104.194.160,,,,,,,,,2021-06-30 09:23:29,2021-06-30 09:25:11,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,7.0,7.0,2,1,1,1,4,4,3,4,4,7,7,7,7,7,7,7,没有,没有,7,,72,72,5,5,6,6,5,5,6,6,6,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,没有
4,223.104.194.162,,,,,,,,,2021-06-30 09:24:36,2021-06-30 09:27:26,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,4,3,6,4,4,7,7,7,7,7,7,7,很好,很好,4,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,6,7,7,好
5,223.104.194.157,,,,,,,,,2021-06-30 09:27:04,2021-06-30 09:30:45,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,3,4,2,1,2,4,3,7,7,7,7,7,7,7,好,好,6,,60,68,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,没
6,117.136.94.9,,,,,,,,,2021-06-30 09:30:09,2021-06-30 09:31:09,Unknown Browser,iPhone iOS 14.4.1,1,,,,,,,6.0,6.0,7.0,1,2,3,2,2,3,2,2,2,6,6,6,3,5,6,6,无,无,5,,0.5,0.5,6,4,5,6,6,6,6,6,6,5,6,6,5,6,5,6,5,6,6,6,6,5,5,5,5,无
7,223.104.194.39,,,,,,,,,2021-06-30 09:29:38,2021-06-30 09:31:15,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,2,1,3,1,1,1,2,3,3,5,6,6,6,6,5,5,没有,没有,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,没有
8,112.224.19.91,,,,,,,,,2021-06-30 09:27:07,2021-06-30 09:34:27,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,3,7,4,4,6,7,7,7,7,7,7,无,无,3,,26,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,6,7,7,无
9,117.136.94.223,,,,,,,,,2021-06-30 09:35:18,2021-06-30 09:38:40,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,6.0,6.0,1,3,3,3,3,1,3,4,4,7,7,7,7,7,7,7,无,无,4,,100,100,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
10,223.104.194.178,,,,,,,,,2021-06-30 09:36:08,2021-06-30 09:39:50,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,6.0,5.0,1,1,3,1,1,1,3,2,2,7,7,7,7,7,7,5,无,没必要,3,,70,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,6,6,无
11,144.12.87.10,,,,,,,,,2021-06-30 09:45:10,2021-06-30 09:47:22,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,1,3,3,3,2,3,3,2,5,5,5,5,5,5,5,无,无,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,无
